State,Weather,Budget Level,Budget (INR),Transportation Options,Food,Hotels,Famous Places to Visit,Activities,Popularity,Reviews,Season,Language,Safety,Family-Friendly,Cultural Highlights
Tripura,Rainy,Low,36662,"Bus: 783 INR, Flight: 6783 INR, Car Rental: 1027 INR, Train: 1696 INR",Local Cuisine: 1518 INR per day,Homestay: 1655 INR per night,"Ujjayanta Palace, Neermahal",Wildlife Safari,High,5.0/5,Winter,"Bengali, Kokborok",Moderately Safe,Yes,Art Exhibitions
Assam,Rainy,Low,25918,"Car Rental: 1936 INR, Flight: 4528 INR, Bus: 431 INR, Train: 1344 INR",Local Cuisine: 887 INR per day,3-star: 4740 INR per night,"Kaziranga National Park, Majuli Island","River Rafting, Trekking",High,4.1/5,Winter,Assamese,Very Safe,Yes,Art Exhibitions
Tripura,Rainy,High,17624,"Train: 1076 INR, Car Rental: 1062 INR, Bus: 944 INR, Flight: 5655 INR",Local Cuisine: 1132 INR per day,Homestay: 2252 INR per night,"Neermahal, Ujjayanta Palace",Cultural Tours,High,4.7/5,Summer,"Bengali, Kokborok",Very Safe,Yes,Local Traditions
Meghalaya,Rainy,Low,5021,"Car Rental: 2010 INR, Train: 757 INR, Bus: 578 INR",Local Cuisine: 582 INR per day,3-star: 3909 INR per night,"Cherrapunji, Living Root Bridges","Wildlife Safari, Cultural Tours",High,4.5/5,Monsoon,"Khasi, Garo",Very Safe,No,Local Traditions
Nagaland,Chilly,Medium,12051,"Train: 1215 INR, Bus: 696 INR",Local Cuisine: 568 INR per day,Luxury Resort: 4254 INR per night,"Kohima War Cemetery, Dzükou Valley","Trekking, Boating",Low,4.4/5,Summer,"English, Nagamese",Very Safe,No,Local Traditions
Manipur,Pleasant,High,15223,"Flight: 4518 INR, Train: 549 INR, Bus: 998 INR",Local Cuisine: 1865 INR per day,Luxury Resort: 2356 INR per night,"Kangla Fort, Loktak Lake",River Rafting,Moderate,4.4/5,Summer,Manipuri,Moderately Safe,No,Festival
Assam,Chilly,High,23501,"Bus: 369 INR, Car Rental: 2656 INR, Flight: 4532 INR",Local Cuisine: 1531 INR per day,Luxury Resort: 1302 INR per night,"Majuli Island, Kaziranga National Park",Wildlife Safari,Low,4.8/5,Summer,Assamese,Moderately Safe,No,Art Exhibitions
Arunachal Pradesh,Rainy,High,48717,"Flight: 4871 INR, Car Rental: 1547 INR, Bus: 894 INR, Train: 1137 INR",Local Cuisine: 1990 INR per day,Luxury Resort: 2541 INR per night,"Ziro Valley, Tawang Monastery",River Rafting,Low,3.6/5,Winter,"Hindi, English",Very Safe,No,Local Traditions
Manipur,Sunny,High,43582,"Car Rental: 2404 INR, Flight: 5854 INR, Bus: 963 INR",Local Cuisine: 525 INR per day,Homestay: 1720 INR per night,"Loktak Lake, Kangla Fort","Boating, River Rafting, Cultural Tours",High,4.6/5,Monsoon,Manipuri,Safe for Solo Travelers,Yes,Local Traditions
Manipur,Chilly,Medium,15083,"Bus: 517 INR, Flight: 3660 INR, Car Rental: 2444 INR",Local Cuisine: 1227 INR per day,Homestay: 1600 INR per night,"Loktak Lake, Kangla Fort","Wildlife Safari, Trekking",Moderate,4.2/5,Winter,Manipuri,Moderately Safe,Yes,Art Exhibitions
Mizoram,Rainy,Low,22740,"Bus: 939 INR, Car Rental: 2916 INR, Train: 1893 INR",Local Cuisine: 1233 INR per day,Luxury Resort: 1754 INR per night,"Vantawng Falls, Phawngpui National Park","River Rafting, Cultural Tours, Boating",High,3.9/5,Summer,Mizo,Moderately Safe,No,Local Traditions
Assam,Sunny,Low,33468,"Flight: 6554 INR, Bus: 820 INR, Train: 1007 INR",Local Cuisine: 1322 INR per day,Luxury Resort: 4223 INR per night,"Majuli Island, Kaziranga National Park","Trekking, Wildlife Safari, Cultural Tours",Moderate,4.2/5,Summer,Assamese,Very Safe,Yes,Local Traditions
Meghalaya,Sunny,Medium,13567,"Flight: 3249 INR, Bus: 215 INR, Car Rental: 2023 INR",Local Cuisine: 965 INR per day,3-star: 4367 INR per night,"Living Root Bridges, Cherrapunji",Trekking,High,4.0/5,Monsoon,"Khasi, Garo",Very Safe,Yes,Art Exhibitions
Nagaland,Pleasant,Low,21060,"Bus: 521 INR, Train: 1122 INR",Local Cuisine: 534 INR per day,Luxury Resort: 3520 INR per night,"Dzükou Valley, Kohima War Cemetery","Cultural Tours, River Rafting, Trekking",Low,3.8/5,Summer,"English, Nagamese",Very Safe,No,Art Exhibitions
Arunachal Pradesh,Chilly,Medium,29465,"Flight: 6295 INR, Bus: 849 INR, Train: 947 INR, Car Rental: 2941 INR",Local Cuisine: 1058 INR per day,Luxury Resort: 1918 INR per night,"Ziro Valley, Tawang Monastery","Cultural Tours, Boating, River Rafting",High,4.0/5,Monsoon,"Hindi, English",Moderately Safe,Yes,Art Exhibitions
Arunachal Pradesh,Chilly,Medium,35714,"Flight: 4683 INR, Car Rental: 1766 INR, Train: 862 INR, Bus: 280 INR",Local Cuisine: 1280 INR per day,Homestay: 4692 INR per night,"Tawang Monastery, Ziro Valley","River Rafting, Trekking, Wildlife Safari",High,4.0/5,Summer,"Hindi, English",Safe for Solo Travelers,Yes,Local Traditions
Tripura,Pleasant,Low,37068,"Bus: 459 INR, Train: 1815 INR, Car Rental: 1346 INR, Flight: 3150 INR",Local Cuisine: 860 INR per day,Homestay: 1828 INR per night,"Ujjayanta Palace, Neermahal","Cultural Tours, River Rafting, Boating",High,4.0/5,Summer,"Bengali, Kokborok",Very Safe,Yes,Festival
Assam,Pleasant,Low,6254,"Flight: 5764 INR, Car Rental: 2748 INR, Train: 1677 INR",Local Cuisine: 604 INR per day,3-star: 3915 INR per night,"Majuli Island, Kaziranga National Park","Boating, River Rafting",High,4.2/5,Summer,Assamese,Safe for Solo Travelers,Yes,Festival
Tripura,Pleasant,Medium,21669,"Flight: 5414 INR, Car Rental: 2372 INR, Bus: 744 INR, Train: 1543 INR",Local Cuisine: 884 INR per day,3-star: 1339 INR per night,"Neermahal, Ujjayanta Palace","River Rafting, Wildlife Safari, Cultural Tours",Low,4.7/5,Winter,"Bengali, Kokborok",Safe for Solo Travelers,Yes,Art Exhibitions
Assam,Chilly,Low,7746,"Flight: 4382 INR, Car Rental: 1630 INR, Bus: 394 INR, Train: 753 INR",Local Cuisine: 843 INR per day,Luxury Resort: 1861 INR per night,"Kaziranga National Park, Majuli Island","Cultural Tours, Boating, Trekking",Low,4.4/5,Winter,Assamese,Very Safe,No,Local Traditions
Meghalaya,Rainy,Low,41502,"Flight: 3675 INR, Car Rental: 2077 INR",Local Cuisine: 1624 INR per day,Luxury Resort: 2313 INR per night,"Cherrapunji, Living Root Bridges",Wildlife Safari,Low,4.0/5,Summer,"Khasi, Garo",Moderately Safe,Yes,Art Exhibitions
Assam,Chilly,High,38613,"Flight: 4590 INR, Car Rental: 1287 INR",Local Cuisine: 1238 INR per day,Luxury Resort: 1974 INR per night,"Majuli Island, Kaziranga National Park","Cultural Tours, Trekking, Boating",Moderate,3.7/5,Summer,Assamese,Very Safe,No,Art Exhibitions
Mizoram,Pleasant,High,37674,"Train: 1036 INR, Car Rental: 2693 INR, Bus: 495 INR, Flight: 6754 INR",Local Cuisine: 1085 INR per day,3-star: 1084 INR per night,"Phawngpui National Park, Vantawng Falls",Wildlife Safari,Low,5.0/5,Monsoon,Mizo,Very Safe,No,Local Traditions
Mizoram,Rainy,Medium,25157,"Car Rental: 1953 INR, Train: 1643 INR, Bus: 683 INR",Local Cuisine: 1748 INR per day,3-star: 3269 INR per night,"Vantawng Falls, Phawngpui National Park","River Rafting, Boating, Cultural Tours",High,4.4/5,Winter,Mizo,Very Safe,No,Art Exhibitions
Arunachal Pradesh,Sunny,Low,20438,"Car Rental: 2843 INR, Train: 1674 INR, Flight: 6592 INR, Bus: 497 INR",Local Cuisine: 562 INR per day,Luxury Resort: 2282 INR per night,"Tawang Monastery, Ziro Valley",Trekking,High,4.3/5,Summer,"Hindi, English",Very Safe,Yes,Art Exhibitions
Meghalaya,Pleasant,Low,36548,"Car Rental: 2812 INR, Bus: 395 INR, Train: 862 INR",Local Cuisine: 638 INR per day,3-star: 3543 INR per night,"Cherrapunji, Living Root Bridges","Trekking, Boating",High,4.7/5,Winter,"Khasi, Garo",Moderately Safe,No,Festival
Arunachal Pradesh,Sunny,High,45400,"Flight: 4537 INR, Bus: 347 INR, Car Rental: 2081 INR",Local Cuisine: 1788 INR per day,3-star: 1806 INR per night,"Tawang Monastery, Ziro Valley","Boating, Cultural Tours",Low,4.8/5,Winter,"Hindi, English",Very Safe,No,Festival
Assam,Chilly,High,42361,"Train: 1857 INR, Bus: 477 INR, Flight: 6267 INR, Car Rental: 1887 INR",Local Cuisine: 815 INR per day,3-star: 2081 INR per night,"Majuli Island, Kaziranga National Park","Cultural Tours, Wildlife Safari, River Rafting",Low,3.8/5,Summer,Assamese,Safe for Solo Travelers,Yes,Local Traditions
Nagaland,Rainy,Medium,31718,"Flight: 5305 INR, Train: 649 INR, Bus: 585 INR",Local Cuisine: 1113 INR per day,Homestay: 1888 INR per night,"Kohima War Cemetery, Dzükou Valley",Wildlife Safari,Low,4.4/5,Monsoon,"English, Nagamese",Moderately Safe,Yes,Local Traditions
Arunachal Pradesh,Sunny,Medium,26369,"Bus: 858 INR, Train: 1163 INR, Flight: 4462 INR",Local Cuisine: 1160 INR per day,Homestay: 2937 INR per night,"Ziro Valley, Tawang Monastery","Trekking, Wildlife Safari",High,4.1/5,Summer,"Hindi, English",Very Safe,Yes,Local Traditions
Mizoram,Rainy,High,17720,"Flight: 5171 INR, Train: 548 INR, Car Rental: 1512 INR",Local Cuisine: 627 INR per day,Luxury Resort: 1386 INR per night,"Vantawng Falls, Phawngpui National Park","Cultural Tours, Boating",High,4.2/5,Winter,Mizo,Very Safe,No,Art Exhibitions
Mizoram,Pleasant,Low,11809,"Car Rental: 2702 INR, Flight: 5777 INR",Local Cuisine: 1755 INR per day,Luxury Resort: 1904 INR per night,"Vantawng Falls, Phawngpui National Park",Wildlife Safari,Low,5.0/5,Summer,Mizo,Very Safe,No,Festival
Meghalaya,Rainy,Low,6966,"Car Rental: 2382 INR, Bus: 434 INR, Flight: 3464 INR, Train: 533 INR",Local Cuisine: 790 INR per day,3-star: 1548 INR per night,"Living Root Bridges, Cherrapunji","River Rafting, Trekking, Wildlife Safari",Moderate,3.5/5,Summer,"Khasi, Garo",Moderately Safe,No,Festival
Meghalaya,Sunny,Low,22928,"Train: 1177 INR, Car Rental: 1166 INR",Local Cuisine: 1749 INR per day,Luxury Resort: 1494 INR per night,"Living Root Bridges, Cherrapunji",River Rafting,High,4.4/5,Summer,"Khasi, Garo",Moderately Safe,No,Art Exhibitions
Mizoram,Chilly,Medium,22728,"Train: 1554 INR, Bus: 994 INR, Car Rental: 2818 INR, Flight: 6834 INR",Local Cuisine: 1820 INR per day,3-star: 3251 INR per night,"Phawngpui National Park, Vantawng Falls","River Rafting, Boating, Trekking",Moderate,4.9/5,Winter,Mizo,Very Safe,Yes,Festival
Tripura,Chilly,High,18207,"Bus: 975 INR, Train: 1641 INR",Local Cuisine: 1452 INR per day,3-star: 1021 INR per night,"Ujjayanta Palace, Neermahal","River Rafting, Wildlife Safari, Boating",Low,3.9/5,Monsoon,"Bengali, Kokborok",Safe for Solo Travelers,Yes,Art Exhibitions
Mizoram,Sunny,Medium,45145,"Train: 908 INR, Bus: 354 INR",Local Cuisine: 1814 INR per day,Homestay: 3158 INR per night,"Phawngpui National Park, Vantawng Falls","Trekking, River Rafting",High,4.9/5,Winter,Mizo,Moderately Safe,Yes,Art Exhibitions
Arunachal Pradesh,Chilly,Low,42246,"Bus: 971 INR, Flight: 3425 INR, Train: 1103 INR, Car Rental: 2109 INR",Local Cuisine: 1960 INR per day,Homestay: 1615 INR per night,"Tawang Monastery, Ziro Valley","Cultural Tours, River Rafting, Wildlife Safari",Low,4.3/5,Winter,"Hindi, English",Safe for Solo Travelers,Yes,Festival
Arunachal Pradesh,Chilly,Medium,45509,"Flight: 5373 INR, Car Rental: 2762 INR, Bus: 332 INR",Local Cuisine: 856 INR per day,Homestay: 4828 INR per night,"Tawang Monastery, Ziro Valley","Trekking, River Rafting, Wildlife Safari",Moderate,4.8/5,Winter,"Hindi, English",Very Safe,Yes,Local Traditions
Mizoram,Chilly,Medium,5133,"Train: 1135 INR, Bus: 677 INR, Flight: 6102 INR",Local Cuisine: 873 INR per day,Homestay: 3444 INR per night,"Vantawng Falls, Phawngpui National Park",River Rafting,High,4.8/5,Winter,Mizo,Safe for Solo Travelers,No,Art Exhibitions
Manipur,Chilly,High,49783,"Train: 1537 INR, Car Rental: 2237 INR, Bus: 522 INR, Flight: 4361 INR",Local Cuisine: 878 INR per day,Luxury Resort: 4189 INR per night,"Kangla Fort, Loktak Lake","River Rafting, Cultural Tours",Low,4.0/5,Monsoon,Manipuri,Safe for Solo Travelers,No,Festival
Manipur,Chilly,High,11873,"Bus: 377 INR, Car Rental: 1027 INR",Local Cuisine: 1136 INR per day,Luxury Resort: 1561 INR per night,"Kangla Fort, Loktak Lake",River Rafting,High,4.9/5,Summer,Manipuri,Safe for Solo Travelers,No,Festival
Nagaland,Sunny,High,35504,"Flight: 5109 INR, Bus: 412 INR, Train: 1048 INR",Local Cuisine: 1168 INR per day,Luxury Resort: 1558 INR per night,"Dzükou Valley, Kohima War Cemetery","Cultural Tours, River Rafting, Wildlife Safari",Low,4.0/5,Monsoon,"English, Nagamese",Moderately Safe,Yes,Festival
Assam,Rainy,Medium,11053,"Car Rental: 1207 INR, Train: 1129 INR, Bus: 537 INR",Local Cuisine: 959 INR per day,Homestay: 2966 INR per night,"Kaziranga National Park, Majuli Island","Trekking, Boating",Low,4.1/5,Winter,Assamese,Very Safe,Yes,Festival
Tripura,Chilly,Low,6401,"Train: 1558 INR, Bus: 583 INR, Flight: 6101 INR",Local Cuisine: 969 INR per day,3-star: 3160 INR per night,"Ujjayanta Palace, Neermahal",River Rafting,Moderate,4.7/5,Winter,"Bengali, Kokborok",Very Safe,No,Art Exhibitions
Mizoram,Pleasant,High,49856,"Bus: 412 INR, Car Rental: 1372 INR",Local Cuisine: 1511 INR per day,Luxury Resort: 4446 INR per night,"Vantawng Falls, Phawngpui National Park","Wildlife Safari, River Rafting",Low,4.1/5,Summer,Mizo,Moderately Safe,Yes,Art Exhibitions
Nagaland,Rainy,Low,48410,"Train: 974 INR, Flight: 6710 INR",Local Cuisine: 1132 INR per day,Homestay: 4166 INR per night,"Kohima War Cemetery, Dzükou Valley","Boating, River Rafting, Cultural Tours",High,5.0/5,Winter,"English, Nagamese",Moderately Safe,No,Local Traditions
Arunachal Pradesh,Chilly,Low,22269,"Bus: 759 INR, Car Rental: 1971 INR, Train: 1072 INR, Flight: 4736 INR",Local Cuisine: 1604 INR per day,3-star: 2841 INR per night,"Tawang Monastery, Ziro Valley","Wildlife Safari, Trekking, Boating",Moderate,4.6/5,Winter,"Hindi, English",Moderately Safe,Yes,Festival
Mizoram,Chilly,Medium,23769,"Car Rental: 1538 INR, Flight: 4128 INR",Local Cuisine: 584 INR per day,3-star: 3227 INR per night,"Phawngpui National Park, Vantawng Falls",River Rafting,Low,4.1/5,Summer,Mizo,Moderately Safe,Yes,Local Traditions
Mizoram,Chilly,Low,44388,"Train: 571 INR, Car Rental: 2850 INR, Bus: 439 INR, Flight: 3911 INR",Local Cuisine: 1129 INR per day,Homestay: 1062 INR per night,"Vantawng Falls, Phawngpui National Park",River Rafting,Moderate,3.5/5,Winter,Mizo,Very Safe,No,Local Traditions
Tripura,Chilly,Medium,46806,"Car Rental: 1712 INR, Bus: 915 INR, Train: 1323 INR, Flight: 5824 INR",Local Cuisine: 1794 INR per day,Homestay: 1688 INR per night,"Ujjayanta Palace, Neermahal","River Rafting, Boating",Low,4.3/5,Summer,"Bengali, Kokborok",Very Safe,Yes,Festival
Mizoram,Rainy,High,47792,"Bus: 705 INR, Train: 1758 INR, Flight: 6624 INR",Local Cuisine: 1301 INR per day,Homestay: 2088 INR per night,"Phawngpui National Park, Vantawng Falls",Wildlife Safari,High,3.7/5,Monsoon,Mizo,Moderately Safe,Yes,Festival
Manipur,Pleasant,Low,9326,"Flight: 3455 INR, Train: 665 INR, Bus: 397 INR",Local Cuisine: 825 INR per day,Luxury Resort: 2069 INR per night,"Kangla Fort, Loktak Lake","Boating, River Rafting",Low,4.1/5,Summer,Manipuri,Moderately Safe,Yes,Local Traditions
Arunachal Pradesh,Rainy,Low,33797,"Bus: 322 INR, Flight: 5443 INR",Local Cuisine: 1248 INR per day,Homestay: 3555 INR per night,"Tawang Monastery, Ziro Valley",Cultural Tours,High,4.6/5,Winter,"Hindi, English",Safe for Solo Travelers,Yes,Art Exhibitions
Assam,Rainy,Low,13903,"Bus: 778 INR, Train: 941 INR, Flight: 5221 INR, Car Rental: 2751 INR",Local Cuisine: 583 INR per day,Luxury Resort: 2119 INR per night,"Kaziranga National Park, Majuli Island","Wildlife Safari, Boating",High,4.7/5,Monsoon,Assamese,Very Safe,No,Local Traditions
Tripura,Rainy,Low,33280,"Flight: 6796 INR, Train: 1786 INR",Local Cuisine: 731 INR per day,Homestay: 4362 INR per night,"Ujjayanta Palace, Neermahal","Cultural Tours, Boating",Low,3.6/5,Monsoon,"Bengali, Kokborok",Moderately Safe,Yes,Local Traditions
Assam,Pleasant,High,35105,"Flight: 3719 INR, Bus: 403 INR",Local Cuisine: 1408 INR per day,Homestay: 3702 INR per night,"Kaziranga National Park, Majuli Island","Trekking, Boating, Wildlife Safari",Low,4.0/5,Winter,Assamese,Moderately Safe,Yes,Art Exhibitions
Meghalaya,Rainy,Low,42996,"Car Rental: 2592 INR, Flight: 5455 INR",Local Cuisine: 1423 INR per day,Homestay: 1531 INR per night,"Living Root Bridges, Cherrapunji","Wildlife Safari, Cultural Tours",Moderate,4.2/5,Monsoon,"Khasi, Garo",Moderately Safe,No,Festival
Manipur,Sunny,Medium,23644,"Bus: 560 INR, Train: 1742 INR",Local Cuisine: 1911 INR per day,Homestay: 1760 INR per night,"Loktak Lake, Kangla Fort","Trekking, River Rafting",High,3.7/5,Summer,Manipuri,Very Safe,Yes,Festival
Manipur,Sunny,Low,9099,"Car Rental: 1712 INR, Flight: 6510 INR, Bus: 240 INR",Local Cuisine: 1174 INR per day,Homestay: 1589 INR per night,"Kangla Fort, Loktak Lake","River Rafting, Cultural Tours, Boating",Low,4.0/5,Monsoon,Manipuri,Moderately Safe,Yes,Festival
Mizoram,Sunny,Medium,38610,"Train: 1334 INR, Flight: 3715 INR, Bus: 795 INR",Local Cuisine: 968 INR per day,3-star: 2375 INR per night,"Vantawng Falls, Phawngpui National Park","Cultural Tours, Wildlife Safari",Moderate,4.1/5,Winter,Mizo,Safe for Solo Travelers,Yes,Festival
Tripura,Chilly,Medium,23747,"Car Rental: 2638 INR, Flight: 3336 INR",Local Cuisine: 1527 INR per day,3-star: 1519 INR per night,"Neermahal, Ujjayanta Palace","Wildlife Safari, River Rafting, Trekking",High,4.9/5,Summer,"Bengali, Kokborok",Safe for Solo Travelers,Yes,Local Traditions
Nagaland,Rainy,Medium,35860,"Flight: 3308 INR, Bus: 331 INR, Car Rental: 2367 INR, Train: 1732 INR",Local Cuisine: 1096 INR per day,Homestay: 1339 INR per night,"Dzükou Valley, Kohima War Cemetery","River Rafting, Cultural Tours, Wildlife Safari",Low,4.1/5,Monsoon,"English, Nagamese",Very Safe,No,Art Exhibitions
Manipur,Sunny,Low,35751,"Bus: 421 INR, Car Rental: 1054 INR, Train: 1270 INR, Flight: 3862 INR",Local Cuisine: 541 INR per day,3-star: 2905 INR per night,"Loktak Lake, Kangla Fort",Trekking,Moderate,3.6/5,Summer,Manipuri,Very Safe,Yes,Festival
Tripura,Sunny,High,13115,"Bus: 505 INR, Flight: 5082 INR",Local Cuisine: 1836 INR per day,3-star: 1734 INR per night,"Neermahal, Ujjayanta Palace","Boating, Trekking, River Rafting",Moderate,4.7/5,Summer,"Bengali, Kokborok",Moderately Safe,No,Festival
Manipur,Chilly,High,29356,"Bus: 454 INR, Train: 1342 INR, Flight: 4264 INR, Car Rental: 2793 INR",Local Cuisine: 681 INR per day,Homestay: 4003 INR per night,"Kangla Fort, Loktak Lake",Cultural Tours,Moderate,4.2/5,Summer,Manipuri,Safe for Solo Travelers,Yes,Art Exhibitions
Arunachal Pradesh,Chilly,High,42381,"Bus: 799 INR, Car Rental: 2033 INR, Train: 1196 INR, Flight: 5091 INR",Local Cuisine: 1770 INR per day,Luxury Resort: 3101 INR per night,"Tawang Monastery, Ziro Valley","Wildlife Safari, River Rafting",Low,5.0/5,Winter,"Hindi, English",Moderately Safe,No,Local Traditions
Assam,Rainy,High,10654,"Train: 738 INR, Bus: 772 INR, Car Rental: 2456 INR",Local Cuisine: 1945 INR per day,Luxury Resort: 2509 INR per night,"Majuli Island, Kaziranga National Park","Cultural Tours, Boating",Moderate,3.7/5,Summer,Assamese,Very Safe,Yes,Festival
Meghalaya,Sunny,Medium,44099,"Car Rental: 2433 INR, Train: 1746 INR, Flight: 6947 INR, Bus: 500 INR",Local Cuisine: 1061 INR per day,3-star: 2431 INR per night,"Living Root Bridges, Cherrapunji","Wildlife Safari, Trekking",High,4.1/5,Winter,"Khasi, Garo",Moderately Safe,Yes,Local Traditions
Arunachal Pradesh,Sunny,Low,45760,"Flight: 4497 INR, Bus: 980 INR, Car Rental: 1555 INR, Train: 1437 INR",Local Cuisine: 946 INR per day,Homestay: 1444 INR per night,"Tawang Monastery, Ziro Valley","Wildlife Safari, Cultural Tours",Low,4.9/5,Winter,"Hindi, English",Safe for Solo Travelers,No,Art Exhibitions
Assam,Sunny,Medium,14125,"Bus: 741 INR, Car Rental: 2111 INR, Flight: 3786 INR, Train: 1659 INR",Local Cuisine: 514 INR per day,3-star: 1600 INR per night,"Kaziranga National Park, Majuli Island","Wildlife Safari, Cultural Tours, River Rafting",High,4.4/5,Summer,Assamese,Safe for Solo Travelers,No,Festival
Manipur,Rainy,High,25324,"Flight: 6077 INR, Car Rental: 2261 INR",Local Cuisine: 1073 INR per day,Homestay: 4328 INR per night,"Loktak Lake, Kangla Fort","Wildlife Safari, River Rafting, Trekking",Moderate,4.0/5,Monsoon,Manipuri,Very Safe,Yes,Art Exhibitions
Assam,Rainy,Low,27034,"Car Rental: 1324 INR, Train: 1644 INR",Local Cuisine: 991 INR per day,3-star: 2323 INR per night,"Majuli Island, Kaziranga National Park","River Rafting, Wildlife Safari",Moderate,3.8/5,Winter,Assamese,Safe for Solo Travelers,No,Festival
Tripura,Pleasant,Low,22182,"Train: 1786 INR, Car Rental: 2128 INR, Bus: 656 INR, Flight: 3193 INR",Local Cuisine: 1881 INR per day,3-star: 3805 INR per night,"Neermahal, Ujjayanta Palace","Cultural Tours, Trekking, Boating",Moderate,4.0/5,Monsoon,"Bengali, Kokborok",Moderately Safe,No,Local Traditions
Assam,Chilly,Medium,24591,"Flight: 5209 INR, Bus: 492 INR",Local Cuisine: 1993 INR per day,3-star: 4860 INR per night,"Kaziranga National Park, Majuli Island","Trekking, Boating, River Rafting",High,4.9/5,Summer,Assamese,Very Safe,No,Festival
Arunachal Pradesh,Pleasant,Low,30990,"Flight: 6765 INR, Train: 1587 INR",Local Cuisine: 938 INR per day,Luxury Resort: 3766 INR per night,"Tawang Monastery, Ziro Valley","Cultural Tours, Trekking, Wildlife Safari",Moderate,4.8/5,Monsoon,"Hindi, English",Moderately Safe,No,Local Traditions
Mizoram,Chilly,High,5498,"Flight: 5654 INR, Train: 849 INR, Bus: 844 INR",Local Cuisine: 1285 INR per day,Homestay: 2761 INR per night,"Vantawng Falls, Phawngpui National Park","Cultural Tours, Trekking, Boating",Moderate,3.7/5,Summer,Mizo,Moderately Safe,Yes,Local Traditions
Manipur,Sunny,Low,21513,"Flight: 6318 INR, Bus: 943 INR, Train: 1919 INR, Car Rental: 2471 INR",Local Cuisine: 863 INR per day,Luxury Resort: 1741 INR per night,"Loktak Lake, Kangla Fort",Trekking,High,4.2/5,Summer,Manipuri,Safe for Solo Travelers,Yes,Art Exhibitions
Assam,Pleasant,High,34187,"Bus: 216 INR, Flight: 3650 INR, Train: 591 INR, Car Rental: 2218 INR",Local Cuisine: 1231 INR per day,3-star: 2476 INR per night,"Majuli Island, Kaziranga National Park","Wildlife Safari, Cultural Tours, Boating",Low,3.6/5,Summer,Assamese,Safe for Solo Travelers,No,Art Exhibitions
Nagaland,Pleasant,Low,49108,"Car Rental: 1039 INR, Flight: 5838 INR, Train: 1947 INR, Bus: 604 INR",Local Cuisine: 1690 INR per day,Luxury Resort: 2437 INR per night,"Dzükou Valley, Kohima War Cemetery","Cultural Tours, Trekking, River Rafting",High,4.4/5,Monsoon,"English, Nagamese",Very Safe,Yes,Art Exhibitions
Arunachal Pradesh,Pleasant,Low,34766,"Flight: 6261 INR, Train: 1427 INR, Bus: 582 INR",Local Cuisine: 1114 INR per day,Luxury Resort: 3475 INR per night,"Ziro Valley, Tawang Monastery",Boating,Moderate,4.3/5,Monsoon,"Hindi, English",Safe for Solo Travelers,No,Local Traditions
Nagaland,Sunny,Low,9379,"Train: 1130 INR, Flight: 5565 INR, Bus: 624 INR, Car Rental: 1724 INR",Local Cuisine: 532 INR per day,Luxury Resort: 1913 INR per night,"Kohima War Cemetery, Dzükou Valley",Cultural Tours,Low,3.5/5,Monsoon,"English, Nagamese",Moderately Safe,Yes,Art Exhibitions
Arunachal Pradesh,Rainy,Low,19452,"Car Rental: 1151 INR, Train: 1021 INR, Bus: 652 INR, Flight: 4008 INR",Local Cuisine: 619 INR per day,Luxury Resort: 1294 INR per night,"Tawang Monastery, Ziro Valley","Trekking, Wildlife Safari, Cultural Tours",Low,5.0/5,Summer,"Hindi, English",Safe for Solo Travelers,No,Local Traditions
Nagaland,Rainy,Low,30583,"Train: 809 INR, Flight: 6985 INR, Car Rental: 1523 INR",Local Cuisine: 1691 INR per day,3-star: 1760 INR per night,"Dzükou Valley, Kohima War Cemetery",Wildlife Safari,High,4.9/5,Monsoon,"English, Nagamese",Very Safe,No,Local Traditions
Mizoram,Rainy,Low,32737,"Bus: 597 INR, Car Rental: 1976 INR",Local Cuisine: 1026 INR per day,Luxury Resort: 1435 INR per night,"Vantawng Falls, Phawngpui National Park",Boating,Low,4.0/5,Monsoon,Mizo,Safe for Solo Travelers,No,Festival
Tripura,Pleasant,High,36560,"Car Rental: 2734 INR, Bus: 804 INR, Flight: 6317 INR",Local Cuisine: 598 INR per day,3-star: 4047 INR per night,"Ujjayanta Palace, Neermahal",Wildlife Safari,High,4.7/5,Summer,"Bengali, Kokborok",Very Safe,No,Art Exhibitions
Nagaland,Rainy,Low,17104,"Car Rental: 1906 INR, Bus: 762 INR",Local Cuisine: 1382 INR per day,3-star: 1282 INR per night,"Dzükou Valley, Kohima War Cemetery",Trekking,Low,4.5/5,Monsoon,"English, Nagamese",Very Safe,No,Art Exhibitions
Meghalaya,Pleasant,High,47912,"Car Rental: 2267 INR, Bus: 576 INR, Flight: 5014 INR, Train: 1133 INR",Local Cuisine: 559 INR per day,3-star: 2985 INR per night,"Living Root Bridges, Cherrapunji","Trekking, Boating",High,5.0/5,Monsoon,"Khasi, Garo",Moderately Safe,No,Local Traditions
Tripura,Rainy,High,22842,"Bus: 306 INR, Train: 1537 INR, Car Rental: 2468 INR, Flight: 3211 INR",Local Cuisine: 833 INR per day,3-star: 4206 INR per night,"Ujjayanta Palace, Neermahal","Wildlife Safari, Boating, Cultural Tours",High,4.6/5,Winter,"Bengali, Kokborok",Very Safe,Yes,Festival
